Concepts,Text,Refrences,def,Keywords,Synonyms,Predicate,Object
interpersonal and team skills,"interpersonal and team skills that can be used for this process includes but are not limited to facilitation (see section 4.1.2.3). facilitation improves the effectiveness of many of the techniques used to identify individual project risks and sources of overall project risk. a skilled facilitator can help participants remain focused on the risk identiﬁcation task, follow the method associated with the technique accurately, ensure clear risk descriptions, identify and overcome sources of bias, and resolve any disagreements that may arise.", ,A skilled project manager will be able to use his or her background as a project manager to effectively identify and manage risks.,"['project risk skilled facilitator', 'team', 'accurately ensure clear', 'descriptions identify', 'used process includes limited', 'disagreements arise', 'follow method', '4123']","['Both Interperssonal and Team Saskatchewan are interpenetrators, with InterraPERSONAL being a more serious matter and team spirit also working together.', 'INTEPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TABLEAUX.', 'The interpersonal game and the team SKILLS program are both interpersive and team-building, with InterraPERSONAL and TEAM KSILLs being more involved.', 'InterPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TEEN POWER.', 'InTERPERSONAL AND TEAM SKILLS.']",subclass of,interpersonal
prompt lists,"a prompt list is a predetermined list of risk categories that might give rise to individual project risks and that could also act as sources of overall project risk. the prompt list can be used as a framework to aid the project team in idea generation when using risk identiﬁcation techniques. the risk categories in the lowest level of the risk breakdown structure can be used as a prompt list for individual project risks. some common strategic frameworks are more suitable for identifying sources of overall project risk, for example pestle (political, economic, social, technological, legal, environmental), tecop (technical, environmental, commercial, operational, political), or vuca (volatility, uncertainty, complexity, ambiguity).", ,This paper uses a list of project risk categories as a starting point for identifying potential sources of overall risk.,"['project risk prompt list', 'team idea generation', 'frameworks suitable identifying', 'breakdown structure used', 'volatility uncertainty complexity ambiguity', 'legal environmental tecop', 'categories rise', 'pestle political economic', 'techniques', 'individual']","['Providing PROMPT LISTS, PROmpT LIMITATIONS IS A MUST-DO FOR PROMISE CHANGES.', 'PROMPT LISTS: PROmpT SUBSCRIBE WEBSITES.', 'Prompt LISTS PROMPT ACTIVITIES?', 'PROMPT LISTS FOR REAL PROMISE ACTIVITIES?', 'PROMPT LISTS for professionals who are looking for real-time job listings.']",facet of,project management
meetings,"to undertake risk identiﬁcation, the project team may conduct a specialized meeting (often called a risk workshop). most risk workshops include some form of brainstorming (see section 4.1.2.2), but other risk identiﬁcation techniques may be included depending on the level of the risk process deﬁned in the risk management plan. use of a skilled facilitator will increase the effectiveness of the meeting. it is also essential to ensure that the right people participate in the risk workshop. on larger projects, it may be appropriate to invite the project sponsor, subject matter experts, sellers, representatives of the customer, or other project stakeholders. risk workshops for smaller projects may be restricted to a subset of the project team.", sections/4.1.2.2_page116.png,A risk workshop is a meeting where the project team gathers to discuss the risks that will be presented to them during the planning phase of the project.,"['project stakeholders risk workshops', '4122 risk', 'identiﬁcation techniques included depending', 'people participate', 'include form', 'increase effectiveness', 'ensure right', 'conduct specialized', 'matter experts sellers', 'subset', 'called']","['Gatherings of individuals are arranged in groups called MEETINGS.', 'MeetingS: MEETINGS by MARKETING (MASTER BATTLE)', 'MEETINGS: There are meetings between people who meet regularly, and there are also meetings with old friends held in the past.', 'MEETINGS ARE MADE IN MESSAGE.', 'HALLHALLMEETINGS MEETTINGS IN SESSION CIVIL HODES.']",part of,risk management plan
risk register,"the risk register captures details of identiﬁed individual project risks. the results of perform qualitative risk analysis, plan risk responses, implement risk responses, and monitor risks are recorded in the risk register as those processes are conducted throughout the project. the risk register may contain limited or extensive risk information depending on project variables such as size and complexity.on completion of the identify risks process, the content of the risk register may include but is not limited to: list of identified risks. each individual project risk is given a unique identiﬁer in the risk register. identiﬁed risks are described in as much detail as required to ensure unambiguous understanding. a structured risk statement may be used to distinguish risks from their cause(s) and their effect(s). potential risk owners. where a potential risk owner has been identiﬁed during the identify risks process, the risk owner is recorded in the risk register. this will be conﬁrmed during the perform qualitative risk analysis process. list of potential risk responses. where a potential risk response has been identiﬁed during the identify risks process, it is recorded in the risk register. this will be conﬁrmed during the plan risk responses process.additional data may be recorded for each identiﬁed risk, depending on the risk register format speciﬁed in the risk management plan. this may include: a short risk title, risk category, current risk status, one or more causes, one or more effects on objectives, risk triggers (events or conditions that indicate that a risk is about to occur), wbs reference of affected activities, and timing information (when was the risk identiﬁed, when might the risk occur, when might it no longer be relevant, and what is the deadline for taking action). ", ,"A risk register is a collection of information that can be used to track and manage a project's risks. Each risk is identified and described in terms that are clear and understandable. Potential risk owners, risk responses, and other relevant information are recorded in this register.","['risk register identiﬁed risks', 'perform qualitative', 'captures details identiﬁed individual', 'depending project variables', 'management plan include short', 'format speciﬁed', 'register include limited list', 'process list', 'triggers events conditions', 'responses process additional data', 'understanding structured', 'causes effects potential', 'occur wbs reference', 'timing information', 'owners potential', 'ensure unambiguous', 'indicate', 'category current', 'relevant', 'conﬁrmed', 'status causes', 'size complexity completion', 'recorded', 'taking action', 'monitor', 'given unique', 'deadline', 'size']","['Register at risk.', 'RISK REGISTER – Register Here TO READ NOW.', 'Risk Register -RISK REGISTER RIS K REJOICE', 'Risk Register Jetzt RISK REGISTER!', 'RISK REGISTER | RIP REJOICE.']",facet of,risk management
risk report,"the risk report presents information on sources of overall project risk, together with summary information on identiﬁed individual project risks. the risk report is developed progressively throughout the project risk management process. the results of perform qualitative risk analysis, perform quantitative risk analysis, plan risk responses, implement risk responses, and monitor risks are also included in the risk report as those processes are completed. on completion of the identify risks process, information in the risk report may include but is not limited to: sources of overall project risk, indicating which are the most important drivers of overall project risk exposure; and summary information on identiﬁed individual project risks, such as number of identiﬁed threats and opportunities, distribution of risks across risk categories, metrics and trends, etc.additional information may be included in the risk report, depending on the reporting requirements speciﬁed in the risk management plan.", ,The risk report describes the sources and summary information of risks that are specific to a particular project.,"['project risks risk report', 'results perform qualitative', 'exposure summary', 'management process', 'opportunities distribution', 'number identiﬁed', 'categories metrics', 'include limited', 'indicating important drivers', 'responses monitor', 'sources', 'completed', 'presents', 'progressively']","['RISK REPORT risk reporting?', 'Risk reporting involves examining the data.', 'Risk Reporting is a way to monitor risk and potential risks.', 'Risk reporting is crucial in RISK REPORT.', 'RISK REPORT FROM CERTAIN SECOND OUT FOR RAPHIC REPAIR.']",facet of,project
project documents updates,"project documents that may be updated as a result of this process include but are not limited to: assumption log. described in section 4.1.3.2. during the identify risks process, new assumptions may be made, new constraints may be identiﬁed, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information. issue log. described in section 4.3.3.3. the issue log should be updated to capture any new issues uncovered or changes in currently logged issues. lessons learned register. described in section 4.4.3.1. the lessons learned register can be updated with information on techniques that were effective in identifying risks to improve performance in later phases or other projects.","captures/page_25_image_1.png ,
captures/page_25_image_2.png ,
captures/page_25_image_3.png sections/4.1.3.2_page117.png, sections/4.3.3.3_page132.png, sections/4.4.3.1_page140.png",This document describes the process for identifying risks and making informed decisions. It also describes how to track progress against this plan.,"['identify risks process new', 'project documents updated result', '4431 lessons learned', 'constraints identiﬁed existing assumptions', 'register described section', 'updated capture new issues', 'information', 'improve performance', 'logged', 'phases', 'include']","['Project projects are subject to project document submissions and updates.', 'Projet projects are subject to project documentation, project status updates, and citations.', 'Project DOCUMENTS and UPDATES are the cornerstone of project documentation, but project documents also require updates.', 'PROJECT DOCUMENTS UPDATES AND MODERNS OF PROJETS.', 'WORKING PROJECT DOCUMENTS AND SUPPLEMENTATION IN THE PROGRAMME.']",has part,project team
perform qualitative risk analysis,"perform qualitative risk analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. the key beneﬁt of this process is that it focuses efforts on high-priority risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process are depicted in figure 11-8. figure 11-9 depicts the data ﬂow diagram for the process.figure 11-8. perform qualitative risk analysis: inputs, tools & techniques, and outputstools & techniquesinputsoutputs.1 expert judgment.2 data gathering• interviews.3 data analysis• risk data quality  assessment• risk probability and impact  assessment• assessment of other risk  parameters.4 interpersonal and team skills• facilitation .5 risk categorization.6 data representation• probability and impact  matrix• hierarchical charts.7 meetings.1 project management plan• risk management plan.2 project documents• assumption log• risk register• stakeholder register.3 enterprise environmental   factors.4 organizational process assets.1 project documents updates• assumption log• issue log• risk register• risk reportperform qualitative risk analysis • project   charter11.3performqualitativerisk analysisenterprise/organizationproject documents updates• assumption log• issue log• risk register• risk reportproject management plan• risk management planproject documents• assumption log• risk register• stakeholder register• enterprise environmental factors• organizational process assetsprojectdocumentsprojectmanagementplanprojectdocuments figure 11-9. perform qualitative risk analysis: data flow diagramperform qualitative risk analysis assesses the priority of identiﬁed individual project risks using their probability of occurrence, the corresponding impact on project objectives if the risks occur, and other factors. such assessments are subjective as they are based on perceptions of risk by the project team and other stakeholders. effective assessment therefore requires explicit identiﬁcation and management of the risk attitudes of key participants in the perform qualitative risk analysis process. risk perception introduces bias into the assessment of identiﬁed risks, so attention should be paid to identifying bias and correcting for it. where a facilitator is used to support the perform qualitative risk analysis process, addressing bias is a key part of the facilitator’s role. an evaluation of the quality of the available information on individual project risks also helps to clarify the assessment of each risk’s importance to the project.perform qualitative risk analysis establishes the relative priorities of individual project risks for plan risk responses. it identiﬁes a risk owner for each risk who will take responsibility for planning an appropriate risk response and ensuring that it is implemented. perform qualitative risk analysis also lays the foundation for perform quantitative risk analysis if this process is required.the perform qualitative risk analysis process is performed regularly throughout the project life cycle, as deﬁned in the risk management plan. often, in an agile development environment, the perform qualitative risk analysis process is conducted before the start of each iteration.",captures/page_26_image_1.png ,"In this chapter, the author describes a process for prioritizing and assessing individual project risks in order to make informed decisions about how to respond to these risks. It involves several steps: 1) gathering information from various sources; 2) identifying and addressing bias; 3) evaluating the quality of risk information; and 4) preparing a risk response.","['project perform qualitative risk', 'assessment requires', 'role evaluation quality available', 'documents project management', 'responsibility planning', 'assumption log risk register', 'management plan agile', 'impact characteristics key', 'team skills', 'charts meetings', 'action assessing probability occurrence', 'analysis establishes', 'data quality assessment', 'bias key facilitators role', 'perform quantitative', 'interviews', 'organization', 'register stakeholder register enterprise', 'process focuses', 'matrix hierarchical', 'requires explicit identiﬁcation management', 'available information individual', 'depicts data ﬂow', 'importance', 'response ensuring implemented perform', 'start iteration', 'report', 'log issue log', 'parameters interpersonal', 'occur factors', 'outputs tools', 'assets', 'representation probability', 'used support', 'lays foundation perform', 'categorization', 'flow diagram', 'charter 113', 'life cycle', 'judgment', 'highpriority', '118 figure 119 depicts', 'beneﬁt', 'available', 'regularly', 'documents updates assumption', 'relative']","['Perform quantitative risk analysis and perform performance-based analysis.', 'KEEP YOUR PERFORMANCE QUALITATIVE READINGS IN HIGH-ROCKET RISK ANALYSIS TO GET PREPARED AND IDENTICAL!', 'PERFORM QUALITATIVE RISK ANALYSIS AND ITS IMPACTIVE MATERIALIAL QUESTIONS FOR CAPACITY INTEGRATED.', 'Perform QUALITATIVE RISK ANALYSIS AND PERFORM QULITATING 101 BUSINESS CISK.', 'Perform QUALITATIVE RISK ANALYSIS AND PERFORM QULITAITIES FOR CONFIDENTIAL ISSUES.']",studied by,risk management
project management plan,"described in section 4.2.3.1. project management plan components include the risk management plan as described in section 11.1.3.1. of particular interest in this process are the roles and responsibilities for conducting risk management, budgets for risk management, schedule activities for risk management, risk categories (often deﬁned in a risk breakdown structure), deﬁnitions of probability and impact, the probability and impact matrix, and stakeholders’ risk thresholds. these inputs are usually tailored to the project during the plan risk management process. if they are not available, they may be developed during the perform qualitative risk analysis process and presented to the project sponsor for approval before use."," sections/4.2.3.1_page122.png, sections/11.1.3.1_page441.png",The risk management plan is a set of interconnected pieces of information that relate to the project's business activities and goals.,"['project plan risk management', 'probability impact probability', 'particular process roles', 'breakdown structure', 'categories deﬁned', 'sponsor approval use', 'matrix', 'schedule', '11131 particular', 'usually tailored']","['The PROJECT MANAGEMENT PLAN is designed to manage projects of different sizes and types.', 'Proposed Project Management PLAN as a PROJECT MANAGEMENT PUNCH.', 'Project Management PLAN for PROJECT MANAGEMENT PLOT.', 'PROJECT MANAGEMENT PLAN FOR PROBABILITY and PROBLEM PRACTICE.', 'A PROJECT MANAGEMENT PLAN THAT CANNOT BE FORCEED IN THE PROGRAMME OF PROBABILITY?']",facet of,project risk
project documents,"project documents that can be considered as inputs for this process include but are not limited to: assumption log. described in section 4.1.3.2. the assumption log is used for identifying, managing, and monitoring key assumptions and constraints that may affect the project. these may inform the assessment of the priority of individual project risks. risk register. described in section 11.2.3.1. the risk register contains details of each identiﬁed individual project risk that will be assessed during the perform qualitative risk analysis process. stakeholder register. described in section 13.1.3.1. this includes details of project stakeholders who may be nominated as risk owners. "," sections/4.1.3.2_page117.png, sections/11.2.3.1_page453.png, sections/13.1.3.1_page550.png","This chapter describes the assumptions log, risk register, and stakeholder register.","['project risks risk register', 'described section 4132 assumption', 'assessed perform qualitative', 'documents considered inputs process', 'log', 'priority individual', 'include limited', 'register contains', 'managing monitoring key', '13131 includes']","['The project documents are part of the Project Documents.', 'PROJECT DOCUMENTS FROM PRO JOURNAL INTERVIEW WORKS ONLINE.', 'Project DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJETS.', 'DOCUMENTS FROM PROJECT DOKUMENT SENT WHICH PROVEN AS PROJECUTION BY PROBLIMATIONALE.', 'Project DOCUMENTS FOR PROJECT DATA.']",has part,project team
enterprise environmental factors,"the enterprise environmental factors that can inﬂuence perform qualitative risk analysis include but are not limited to: industry studies of similar projects, and published material, including commercial risk databases or checklists.", ,"This paper discusses the use of ""qualitative risk analysis"" as a means of evaluating the effects of an enterprise's environment on a project.","['qualitative risk analysis include', 'enterprise environmental', 'similar']","['Enterprising enterprise environmental factors such as soil, water, and soil quality are the driving forces behind ENTERPRISE ENTREPRENELED ENVIRONMENTAL FACTORS.', 'ENTIREPRISE ENVIRONMENTAL FACTORS WHO RELATE ENTERPRISING WITH US AND DEVELOPING IN IT.', 'ENTERPRISE ENVIRONMENTAL FACTORS OF ENINTERPRISING ENJOYMENTALS.', 'ENTERPRISE Environmental Environmental Factors are responsible for promoting environmental conservation through enterprise and entrepreneurial activities.', 'ENTERPRISE ENTREPANEOUS ENVIRONMENTAL FACTORS OF THE ENINTERPRISING ENJOYMENTALS.']",subclass of,project management information system
organizational process assets,the organizational process assets that can inﬂuence perform qualitative risk analysis include but are not limited to information from similar completed projects., ,The organization's process assets that influence perform qualitative risk analysis include but not limited to the information from similar complete projects.,"['qualitative risk analysis include', 'similar']","['The ORGANIZATIONAL PROCESS ASSETS ARE THERE.', 'ORGANIZATIONAL PROCESS ASSETS AND ORGANIC PRODUCTION ALERT PROSE SUBMISSION.', 'Occupational PROCESS ASSETS ORGANIZATIONAL PRODUCTION AND ORGANICITY PROSECT ASSISTANTS.', 'ORGANIZATIONAL PROCESS RESISTENTS AND OR GENERAL PRODUCTION SOFTSETS.', 'OrgANIZEAL PROCESS ASSETS AND ORGANIZATIONALPROCEDIAL processes.']",part of,organizational process
expert judgment,"described in section 4.1.2.1. expertise should be considered from individuals or groups with specialized knowledge or training in the following topics: previous similar projects, and qualitative risk analysis.expert judgment is often obtained through facilitated risk workshops or interviews. the possibility of expert views being biased should be taken into account in this process.", sections/4.1.2.1_page115.png,"In this chapter, the focus is on describing how expert opinions should be considered in the risk management process.","['risk analysis expert judgment', 'workshops interviews possibility', 'considered individuals groups', 'obtained facilitated', 'section 4121']","['The EXPERT JUDGMENT is an example of E RADICAL JUGUGUST.', 'PERT JUDGMENT EXPERTS JUDICTION.', 'EXPERT JUDGMENT EFFECTUAL JUGUGMENT – EARNER JUCGEMENT BY CONFORDENCE AND GENERAL JUSTICE, AFGUSTMENT JUAGS MODERN JUJARS POLISH.', 'EXPERT JUDGMENT – EFFECT JUAGS (ETJ) FUNDER JUGUG 1927-ExpETERED JUST GUARANTEES.', 'In the EXPERT JUDGMENT, E if any ExPERP JODGment is an Element JUGMENT?']",subclass of,knowledge
data gathering,"data-gathering techniques that can be used for this process include but are not limited to interviews. structured or semi-structured interviews (section 5.2.2.2) can be used to assess the probability and impacts of individual project risks, as well as other factors. the interviewer should promote an environment of trust and conﬁdentiality in the interview setting to encourage honest and unbiased assessments.", sections/5.2.2.2_page178.png,This chapter discusses the use of structured and semi-structed interviews to assess the risks of a particular project. It also discusses how these discussions can be used as part of an informed decision making process.,"['project risks factors interviewer', 'datagathering techniques', '5222 used', 'conﬁdentiality', 'process include', 'honest']","['The process of data analysis is supported by a range of techniques.', 'DATA SEARCH AND MEASURES IN DATELINE GATHERING.', 'Data analysis - Methods', 'Data collection and analysis for statistical purposes.', 'DATA COMPARITION FOR RESEARCH AND DETAILS.']",facet of,enterprise
data analysis,"data analysis techniques that can be used during this process include but are not limited to: risk data quality assessment. risk data quality assessment evaluates the degree to which the data about individual project risks is accurate and reliable as a basis for qualitative risk analysis. the use of low-quality risk data may lead to a qualitative risk analysis that is of little use to the project. if data quality is unacceptable, it may be necessary to gather better data. risk data quality may be assessed via a questionnaire measuring the project’s stakeholder perceptions of various characteristics, which may include completeness, objectivity, relevancy, and timeliness. a weighted average of selected data quality characteristics can then be generated to give an overall quality score. risk probability and impact assessment. risk probability assessment considers the likelihood that a speciﬁc risk will occur. risk impact assessment considers the potential effect on one or more project objectives such as schedule, cost, quality, or performance. impacts will be negative for threats and positive for opportunities. probability and impact are assessed for each identiﬁed individual project risk. risks can be assessed in interviews or meetings with participants selected for their familiarity with the types of risk recorded in the risk register. project team members and knowledgeable persons external to the project are included. the level of probability for each risk and its impact on each objective are evaluated during the interview or meeting. differences in the levels of probability and impact perceived by stakeholders are to be expected, and such differences should be explored. explanatory detail, including assumptions justifying the levels assigned, are also recorded. risk probabilities and impacts are assessed using the deﬁnitions given in the risk management plan (see table 11-1). risks with low probability and impact may be included within the risk register as part of a watch list for future monitoring. assessment of other risk parameters. the project team may consider other characteristics of risk (in addition to probability and impact) when prioritizing individual project risks for further analysis and action. these characteristics may include but are not limited to: un urgency. the period of time within which a response to the risk is to be implemented in order to be effective. a short period indicates high urgency.un proximity. the period of time before the risk might have an impact on one or more project objectives. a short period indicates high proximity.un dormancy. the period of time that may elapse after a risk has occurred before its impact is discovered. a short period indicates low dormancy.un manageability. the ease with which the risk owner (or owning organization) can manage the occurrence or impact of a risk. where management is easy, manageability is high.un controllability. the degree to which the risk owner (or owning organization) is able to control the risk’s outcome. where the outcome can be easily controlled, controllability is high.un detectability. the ease with which the results of the risk occurring, or being about to occur, can be detected and recognized. where the risk occurrence can be detected easily, detectability is high.un connectivity. the extent to which the risk is related to other individual project risks. where a risk is connected to many other risks, connectivity is high.un strategic impact. the potential for the risk to have a positive or negative effect on the organization’s strategic goals. where the risk has a major effect on strategic goals, strategic impact is high.un propinquity. the degree to which a risk is perceived to matter by one or more stakeholders. where a risk is perceived as very signiﬁcant, propinquity is high.the consideration of some of these characteristics can provide a more robust prioritization of risks than is possible by only assessing probability and impact.", ,"The risk management plan includes a risk quality assessment process. It is important to assess the degree of accuracy and reliability of the project's risk information in order to make an informed decision about how to manage the risk. A risk score is calculated based on the relative merits of the various characteristics of risk, such as probability and impact, which can be used to predict future events.","['project risks analysis', 'lowquality risk data', 'characteristics risk addition probability', 'monitoring assessment', 'data quality unacceptable necessary', 'table 111 risks low', 'management plan table', 'objective evaluated', 'parameters project', 'quality score', 'matter stakeholders', 'knowledgeable persons external project', 'justifying levels assigned recorded', 'evaluates degree data', 'perceptions various characteristics include', 'proximity period time risk', 'effect strategic goals strategic', 'opportunities probability', 'effect project', 'basis qualitative', 'likelihood speciﬁc', 'manage occurrence', 'considers potential', 'selected familiarity types risk', 'impact high propinquity', 'data lead', 'average selected data', 'provide robust', 'interview meeting differences', 'outcome outcome easily controlled', 'threats', 'analysis little', 'timeliness weighted', 'prioritizing individual', 'deﬁnitions given', 'explanatory including assumptions justifying', 'schedule cost', 'positive negative effect', 'used process include limited', 'explored explanatory including', 'include completeness objectivity', 'expected differences explored', 'team members', 'period indicates low', 'techniques used', 'types', 'owner owning organization able', 'consider', 'urgency', 'necessary gather', 'used', 'controllability degree', 'generated overall', 'detectability high connectivity', 'dormancy', 'elapse', 'high', 'register', 'detected recognized', 'watch list future', 'unacceptable', 'implemented order effective short', 'addition']","['DATA ANALYSIS AND INTEGRATION FOR IDENTIFICATIONS.', 'ANALYSIS OF DATA FOR MODULING INTELLUENT MISAILABILITY.', 'Data ANALYSIS AND DATA INTEGRATION FOR INTELLECTUAL RESULTS.', 'The data analysis process is focused on providing insights into DATA analytics.', 'Data analysis, DATA analytics and BIG data.']",subclass of,data analysis
interpersonal and team skills,"interpersonal and team skills that can be used for this process include but are not limited to facilitation (see section 4.1.2.3). facilitation improves the effectiveness of the qualitative analysis of individual project risks. a skilled facilitator can help participants remain focused on the risk analysis task, follow the method associated with the technique accurately, reach consensus on assessments of probability and impacts, identify and overcome sources of bias, and resolve any disagreements that may arise.", ,A skilled risk manager will be able to use his or her background as a team member to effectively manage a project.,"['project risks skilled facilitator', 'effectiveness qualitative analysis individual', 'probability impacts identify', 'disagreements', 'follow method', 'used process include limited', 'section 4123']","['Both Interperssonal and Team Saskatchewan are interpenetrators, with InterraPERSONAL being a more serious matter and team spirit also working together.', 'INTEPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TABLEAUX.', 'The interpersonal game and the team SKILLS program are both interpersive and team-building, with InterraPERSONAL and TEAM KSILLs being more involved.', 'InterPERSONAL and TEAM SKILLS, INTERPERFORMANCE AND TEEN POWER.', 'InTERPERSONAL AND TEAM SKILLS.']",subclass of,interpersonal
risk categorization,"risks to the project can be categorized by sources of risk (e.g., using the risk breakdown structure (rbs); see figure 11-4), the area of the project affected (e.g., using the work breakdown structure (wbs); see figures 5-12, 5-13, and 5-14), or other useful categories (e.g., project phase, project budget, and roles and responsibilities) to determine the areas of the project most exposed to the effects of uncertainty. risks can also be categorized by common root causes. risk categories that may be used for the project are deﬁned in the risk management plan.grouping risks into categories can lead to the development of more effective risk responses by focusing attention and effort on the areas of highest risk exposure, or by developing generic risk responses to address groups of related risks.", ,This chapter focuses on the use of risk categories to categorize and classify risks.,"['risks project categorized', 'plan grouping', 'breakdown structure', 'uncertainty', 'roles responsibilities determine', 'affected using', 'areas highest', 'developing generic', 'common root causes', 'rbs', 'phase', 'responses focusing attention effort', '513 514']","['RISK CATEGORIZATION: What is the risk classification?', 'Risk CATEGORIZATION: What is the risk classification?', 'Risk Categorizing, risk CATEGORIZATION.', 'RISK CatEGORIZATION: What is the risk classification?', 'The risk categorized category is associated with the most significant risks.']",studied by,risk management
data representation,"data representation techniques that can be used during this process include but are not limited to: probability and impact matrix. a probability and impact matrix is a grid for mapping the probability of each risk occurrence and its impact on project objectives if that risk occurs. this matrix speciﬁes combinations of probability and impact that allow individual project risks to be divided into priority groups (see figure 11-5). risks can be prioritized for further analysis and planning of risk responses based on their probability and impacts. the probability of occurrence for each individual project risk is assessed as well as its impact on one or more project objectives if it does occur, using deﬁnitions of probability and impact for the project as speciﬁed in the risk management plan. individual project risks are assigned to a priority level based on the combination of their assessed probability and impact, using a probability and impact matrix.an organization can assess a risk separately for each objective (e.g., cost, time, and scope) by having a separate probability and impact matrix for each. alternatively, it may develop ways to determine one overall priority level for each risk, either by combining assessments for different objectives, or by taking the highest priority level regardless of which objective is affected. hierarchical charts. where risks have been categorized using more than two parameters, the probability and impact matrix cannot be used and other graphical representations are required. for example, a bubble chart displays three dimensions of data, where each risk is plotted as a disk (bubble), and the three parameters are represented by the x-axis value, the y-axis value, and the bubble size. an example bubble chart is shown in figure 11-10, with detectability and proximity plotted on the x and y axes, and impact value represented by bubble size. figure 11-10. example bubble chart showing detectability, proximity, and impact value",captures/page_32_image_1.png ,This chapter describes the use of a probabilistic and impact matrix to represent risk in an organization's risk management plans. It uses a three-collapsing bubble chart to illustrate how each risk can be represented in a different way.,"['project speciﬁed risk management', 'impact matrix organization', 'determine overall priority level', 'prioritized analysis planning', 'hierarchical charts', 'combinations probability impact allow', 'matrix grid mapping probability', 'categorized using', 'bubble parameters', 'plotted axes impact', 'assessments different', 'used process include', 'representations required example', 'plan individual', 'regardless objective', 'time scope having separate', 'displays dimensions data', 'xaxis value', 'based', 'speciﬁed', 'cost', 'techniques used', 'groups figure 115', 'showing detectability', 'proximity', 'used', 'disk', '1110', 'does occur', 'yaxis', 'allow']","['DATA REPRESENTATION:', 'Data representation is a crucial aspect of the data representation process.', 'Data reassurance is the basis for data representation.', 'The data representation is a crucial aspect of the delivery.', 'DATA PRESTATION:']",subclass of,specialized knowledge
meetings,"to undertake qualitative risk analysis, the project team may conduct a specialized meeting (often called a risk workshop) dedicated to the discussion of identiﬁed individual project risks. the goals of this meeting include the review of previously identiﬁed risks, assessment of probability and impacts (and possibly other risk parameters), categorization, and prioritization. a risk owner, who will be responsible for planning an appropriate risk response and for reporting progress on managing the risk, will be allocated to each individual project risk as part of the perform qualitative risk analysis process. the meeting may start by reviewing and conﬁrming the probability and impact scales to be used for the analysis. the meeting may also identify additional risks during the discussion, and these should be recorded for analysis. use of a skilled facilitator will increase the effectiveness of the meeting.proximityhighlowlowhighdetectabilitylargebubblesin thisarea areunacceptablebubble size = impact valuesmall bubblesin this area areacceptable", ,"This paper describes a risk meeting that the project team will conduct to discuss and report on the identified individual risks. The purpose of the meeting is to gather information about the identified risks, assess their probability and impact, categorize and prioritize them, and then to report on progress on managing these risks.","['project risk perform qualitative', 'use skilled facilitator increase', 'goals meeting include', 'impacts possibly', 'high detectability large bubbles', 'discussion recorded', 'area unacceptable', 'probability', 'high low low high', 'scales used', 'owner responsible', 'include review previously', 'parameters categorization', 'allocated', 'conduct specialized', 'start']","['Gatherings of individuals are arranged in groups called MEETINGS.', 'MeetingS: MEETINGS by MARKETING (MASTER BATTLE)', 'MEETINGS: There are meetings between people who meet regularly, and there are also meetings with old friends held in the past.', 'MEETINGS ARE MADE IN MESSAGE.', 'HALLHALLMEETINGS MEETTINGS IN SESSION CIVIL HODES.']",part of,risk management plan
project documents updates,"project documents that may be updated as a result of carrying out this process include but are not limited to: assumption log. described in section 4.1.3.2. during the perform qualitative risk analysis process, new assumptions may be made, new constraints may be identiﬁed, and existing assumptions or constraints may be revisited and changed. the assumption log should be updated with this new information. issue log. described in section 4.3.3.3. the issue log should be updated to capture any new issues uncovered or changes in currently logged issues. risk register. described in section 11.2.3.1. the risk register is updated with new information generated during the perform qualitative risk analysis process. updates to the risk register may include assessments of probability and impacts for each individual project risk, its priority level or risk score, the nominated risk owner, risk urgency information or risk categorization, and a watch list for low-priority risks or risks requiring further analysis. risk report. described in section 11.2.3.2. the risk report is updated to reﬂect the most important individual project risks (usually those with the highest probability and impact), as well as a prioritized list of all identiﬁed risks on the project and a summary conclusion. ","captures/page_34_image_1.png ,
captures/page_34_image_2.png ,
captures/page_34_image_3.png sections/4.1.3.2_page117.png, sections/4.3.3.3_page132.png, sections/11.2.3.1_page453.png, sections/11.2.3.2_page454.png","This section describes how the risk management process is used to gather, track, and report on all of the risks that may be identified during the project life cycle.","['identiﬁed risks project summary', 'issue log', 'process updates risk', 'described section 11232', 'process new assumptions new', 'assessments', 'constraints revisited changed', 'updated result carrying', 'documents', 'process include', 'register updated new', '4132 perform', 'urgency', 'categorization', 'watch list lowpriority', 'probability', 'reﬂect', 'owner', 'usually']","['Project projects are subject to project document submissions and updates.', 'Projet projects are subject to project documentation, project status updates, and citations.', 'Project DOCUMENTS and UPDATES are the cornerstone of project documentation, but project documents also require updates.', 'PROJECT DOCUMENTS UPDATES AND MODERNS OF PROJETS.', 'WORKING PROJECT DOCUMENTS AND SUPPLEMENTATION IN THE PROGRAMME.']",has part,project team
